"","device_id","id_type","latitude","longitude","horizontal_accuracy","timestamp","ip_address","device_os","os_version","user_agent","country","source_id","publisher_id","app_id","location_context","geohash"
"2124","92f7867c-d494-44f7-be21-e55a99a5dc01","aaid",47.875977,-122.248886,11.54,1.6e+12,"","Android","10","","US",1,"a5e0511fc20559149c4a537284dbe886","68c51e782ef7b8c46aa740711859bc8a",0,"c29065t1f2zs"
"6241","d8cabb02-23ac-4f06-908d-3de242bbe3e8","aaid",31.411545,-100.47801,12.86,1.6e+12,"74.197.75.43","Android","10","Dalvik/2.1.0 (Linux; U; Android 10; LM-Q720 Build/QKQ1.200308.002)","US",18,"2A536D6FFD39F4E4","225AB721E79BDBEC",NA,"9v8d9w61s87g"
"13303","E143401E-E826-402A-ACFD-D9A26666D2C7","idfa",33.6362,-112.0908,23,1.6e+12,"172.58.23.230","iOS","","","US",31,"17f29b073143d8cd97b5bbe492bdeffec1c5fee55cc1fe2112c8b9335f8b6121","",NA,"9tbr373cp45s"
"4537","3beb89be-340f-4e57-9ec6-983640386aa8","aaid",44.7499,-93.2081,63,1.6e+12,"50.124.216.218","Android","","","US",31,"17f29b073143d8cd97b5bbe492bdeffec1c5fee55cc1fe2112c8b9335f8b6121","",NA,"9zvwwfrzjf5s"
"13580","97c3514c-5de1-4230-ae0d-140eed1a1e97","aaid",40.486183,-81.44123,794.31,1.6e+12,"99.203.187.47","Android","9","Dalvik/2.1.0 (Linux; U; Android 9; LM-Q720 Build/PKQ1.190302.001)","US",18,"2A536D6FFD39F4E4","225AB721E79BDBEC",NA,"dpnn6f231g8c"
"12865","fe9111ce-2147-4cc9-85c3-4850d29caf03","aaid",39.520847,-122.21172,20,1.6e+12,"","Android","","","US",24,"abdf882c25e08d9ba219fe33f17591fe","e24c17af1c270fd32eee89dc3bcea163",NA,"9r10g481s7yj"
"4579","041beb79-0f11-4470-90f2-5410d2470f09","aaid",40.7687,-89.6024,27,1.6e+12,"140.177.248.192","Android","","","US",31,"17f29b073143d8cd97b5bbe492bdeffec1c5fee55cc1fe2112c8b9335f8b6121","",NA,"dp0rcj9wbsqy"
"6878","ebe23ef2-68d0-489d-ad76-094e2d6a8cde","aaid",30.017366,-95.30847,15.22,1.6e+12,"174.235.12.167","Android","9","Dalvik/2.1.0 (Linux; U; Android 9; SM-N950U Build/PPR1.180610.011)","US",18,"2A536D6FFD39F4E4","225AB721E79BDBEC",NA,"9vk4z0qrzdst"
"10803","1A92C0D3-08C5-430E-85D3-454364DDDFAD","idfa",35.023197,-79.31837,65,1.6e+12,"174.193.18.172","iOS","","WRAL%20Weather/5.8.26.563 CFNetwork/1126 Darwin/19.5.0","US",24,"abdf882c25e08d9ba219fe33f17591fe","1388f5fbd74464bfc4bb211973967596",NA,"dnpx5pf0uj4u"
"19954","cd2fd606-972b-4155-babd-6d36c4f9ccc3","aaid",32.87264,-83.63607,13,1.6e+12,"104.191.48.195","Android","","","US",24,"79181a105bb9a94374311e2cd3400f2a","acc9e531d6ad8caaa36d6195a9af996f",NA,"djue0b61421b"
